# GT_vertex,mne_vertex,sloreta_vertex,dspm_vertex,nn_vertex,mne_DLE,sloreta_DLE,dspm_DLE,nn_DLE,mne_SD,sloreta_SD,dspm_SD,nn_SD,mne_OA,sloreta_OA,dspm_OA,nn_OA
212,238,226,226,212,0.026508,0.033236,0.033236,0,0.208875,0.176414,0.179942,0.176414,95.910733,79.443018,89.583147,79.443018
212,238,226,226,212,0.026508,0.033236,0.033236,0,0.210678,0.176851,0.18038,0.176851,98.784414,77.576971,87.198761,77.576971
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.204854,0.177053,0.180584,0.177053,71.247379,59.056423,65.731864,59.056423
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.204854,0.177053,0.180584,0.177053,71.247379,59.056423,65.731864,59.056423
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.185476,0.177186,0.179195,0.177186,89.854037,69.910108,76.804709,69.910108
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.185476,0.177186,0.179195,0.177186,89.854037,69.910108,76.804709,69.910108
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.18497,0.177194,0.178998,0.177194,89.699943,70.580084,77.369271,70.580084
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.18497,0.177194,0.178998,0.177194,89.699943,70.580084,77.369271,70.580084
212,238,226,226,212,0.026508,0.033236,0.033236,0,0.208816,0.177242,0.180934,0.177242,95.815728,82.397236,93.222268,82.397236
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.203458,0.177445,0.180793,0.177445,71.173884,59.294463,65.923692,59.294463
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.203458,0.177445,0.180793,0.177445,71.173884,59.294463,65.923692,59.294463
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.206747,0.177458,0.18112,0.177458,72.733128,59.83497,66.659158,59.83497
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.206747,0.177458,0.18112,0.177458,72.733128,59.83497,66.659158,59.83497
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.186223,0.177497,0.179685,0.177497,90.965974,69.892827,76.96175,69.892827
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.186223,0.177497,0.179685,0.177497,90.965974,69.892827,76.96175,69.892827
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.185059,0.177712,0.179317,0.177712,90.972698,72.236355,79.022929,72.236355
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.185059,0.177712,0.179317,0.177712,90.972698,72.236355,79.022929,72.236355
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.187205,0.178245,0.180552,0.178245,92.824238,70.488458,77.764943,70.488458
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.187205,0.178245,0.180552,0.178245,92.824238,70.488458,77.764943,70.488458
212,238,226,226,212,0.026508,0.033236,0.033236,0,0.214196,0.178484,0.182174,0.178484,106.495535,77.338897,86.65833,77.338897
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.208998,0.178489,0.18223,0.178489,75.610285,61.550632,68.626816,61.550632
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.208998,0.178489,0.18223,0.178489,75.610285,61.550632,68.626816,61.550632
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.185904,0.178995,0.180456,0.178995,102.319249,79.593973,87.414215,79.593973
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.185904,0.178995,0.180456,0.178995,102.319249,79.593973,87.414215,79.593973
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.202916,0.17906,0.182178,0.17906,72.965185,60.927071,67.642302,60.927071
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.202916,0.17906,0.182178,0.17906,72.965185,60.927071,67.642302,60.927071
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.186017,0.179275,0.180689,0.179275,101.599629,79.360753,87.08284,79.360753
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.186017,0.179275,0.180689,0.179275,101.599629,79.360753,87.08284,79.360753
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.186547,0.179324,0.180892,0.179324,105.208213,81.200148,89.35546,81.200148
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.186547,0.179324,0.180892,0.179324,105.208213,81.200148,89.35546,81.200148
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.186612,0.179381,0.180838,0.179381,96.344621,76.421333,83.555564,76.421333
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.186612,0.179381,0.180838,0.179381,96.344621,76.421333,83.555564,76.421333
212,238,226,226,212,0.026508,0.033236,0.033236,0,0.210613,0.179647,0.183656,0.179647,98.617296,86.898581,98.652893,86.898581
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.188932,0.180059,0.182382,0.180059,96.085995,72.236285,79.808174,72.236285
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.188932,0.180059,0.182382,0.180059,96.085995,72.236285,79.808174,72.236285
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.186795,0.180078,0.181506,0.180078,102.574375,80.169437,87.97293,80.169437
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.186795,0.180078,0.181506,0.180078,102.574375,80.169437,87.97293,80.169437
76,77,77,77,76,0.007981,0.007981,0.007981,0,0.19214,0.180081,0.181935,0.180081,71.831726,67.402103,66.606715,67.402103
429,436,436,430,429,0.044749,0.044749,0.051812,0,0.186858,0.180151,0.197475,0.180151,118.160124,103.864963,106.722622,103.864963
429,436,436,430,429,0.044749,0.044749,0.051812,0,0.186858,0.180151,0.197475,0.180151,118.160124,103.864963,106.722622,103.864963
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.211615,0.180152,0.183921,0.180152,80.338354,64.471636,71.942289,64.471636
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.211615,0.180152,0.183921,0.180152,80.338354,64.471636,71.942289,64.471636
76,77,77,77,76,0.007981,0.007981,0.007981,0,0.193245,0.180342,0.18221,0.180342,73.934525,69.140569,68.369923,69.140569
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.188262,0.180582,0.182326,0.180582,111.329734,84.749078,93.575369,84.749078
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.188262,0.180582,0.182326,0.180582,111.329734,84.749078,93.575369,84.749078
76,77,77,77,76,0.007981,0.007981,0.007981,0,0.193029,0.181139,0.183118,0.181139,72.027994,67.318507,66.624437,67.318507
212,232,226,226,212,0.042786,0.033236,0.033236,0,0.215734,0.181468,0.185445,0.181468,120.313656,80.049883,89.469422,80.049883
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.188414,0.181541,0.183052,0.181541,105.253713,82.063944,90.138109,82.063944
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.188414,0.181541,0.183052,0.181541,105.253713,82.063944,90.138109,82.063944
212,469,226,226,212,0.054529,0.033236,0.033236,0,0.21312,0.181633,0.185907,0.181633,127.483388,79.212039,89.480636,79.212039
212,226,226,226,212,0.033236,0.033236,0.033236,0,0.20166,0.181746,0.185524,0.181746,135.674494,80.056856,90.308694,80.056856
76,77,77,77,76,0.007981,0.007981,0.007981,0,0.196255,0.181796,0.18382,0.181796,78.301013,72.532604,71.879103,72.532604
212,469,226,226,212,0.054529,0.033236,0.033236,0,0.211625,0.182234,0.187019,0.182234,116.00306,79.967381,90.50067,79.967381
429,436,436,436,429,0.044749,0.044749,0.044749,0,0.189449,0.182284,0.183481,0.182284,128.33742,109.606783,113.782044,109.606783
429,436,436,436,429,0.044749,0.044749,0.044749,0,0.189449,0.182284,0.183481,0.182284,128.33742,109.606783,113.782044,109.606783
212,469,226,226,212,0.054529,0.033236,0.033236,0,0.217691,0.182513,0.186119,0.182513,139.77812,86.967579,98.147204,86.967579
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.214677,0.182592,0.186341,0.182592,87.326321,68.772803,76.83243,68.772803
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.214677,0.182592,0.186341,0.182592,87.326321,68.772803,76.83243,68.772803
212,226,226,226,212,0.033236,0.033236,0.033236,0,0.199678,0.18265,0.185963,0.18265,140.197794,82.408589,92.89187,82.408589
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.203908,0.182726,0.185567,0.182726,77.722434,64.767276,71.804107,64.767276
207,216,208,208,207,0.046434,0.018589,0.018589,0,0.203908,0.182726,0.185567,0.182726,77.722434,64.767276,71.804107,64.767276
212,469,226,226,212,0.054529,0.033236,0.033236,0,0.211178,0.18345,0.188701,0.18345,110.218151,82.613454,93.680094,82.613454
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.191694,0.183589,0.185564,0.183589,123.809649,92.216495,102.355565,92.216495
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.191694,0.183589,0.185564,0.183589,123.809649,92.216495,102.355565,92.216495
76,77,77,77,76,0.007981,0.007981,0.007981,0,0.196159,0.184002,0.186213,0.184002,74.800817,69.177466,68.696468,69.177466
355,370,357,357,355,0.047975,0.026287,0.026287,0,0.216435,0.184053,0.185494,0.184053,114.186914,88.406509,97.030749,88.406509
355,370,357,357,355,0.047975,0.026287,0.026287,0,0.216435,0.184053,0.185494,0.184053,114.186914,88.406509,97.030749,88.406509
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.191568,0.184232,0.185923,0.184232,111.070322,85.83929,94.534725,85.83929
355,357,357,357,355,0.026287,0.026287,0.026287,0,0.191568,0.184232,0.185923,0.184232,111.070322,85.83929,94.534725,85.83929
212,238,226,226,212,0.026508,0.033236,0.033236,0,0.214541,0.184324,0.188735,0.184324,106.090526,94.864499,108.06917,94.864499
212,202,226,226,212,0.035815,0.033236,0.033236,0,0.22237,0.18441,0.187251,0.18441,139.838326,86.668361,97.700574,86.668361
76,77,77,77,76,0.007981,0.007981,0.007981,0,0.201398,0.184721,0.187061,0.184721,85.780694,78.269521,77.835574,78.269521
